name,Fall,Winter,Spring,Summer Session 1,Summer Session 2,year_pattern
PHY7A,t,t,t,t,t,ALWAYS
PHY9A,t,f,t,t,f,ALWAYS
PHY9B,t,t,f,t,f,ALWAYS
STA32,t,t,t,f,f,ALWAYS
STA100,t,t,t,t,t,ALWAYS
STA131A,t,f,t,f,f,ALWAYS
STA131B,f,t,f,f,f,ALWAYS
STA131C,t,t,f,f,f,ALWAYS
STA137,t,t,t,f,f,ALWAYS
STA141A,t,f,t,f,f,ALWAYS
STA141B,t,t,f,f,f,ALWAYS
MAT21A,t,t,t,t,t,ALWAYS
MAT21B,t,t,t,t,t,ALWAYS
MAT21C,t,t,t,t,t,ALWAYS
MAT21D,t,t,t,t,t,ALWAYS
MAT22A,t,t,t,t,t,ALWAYS
MAT22AL,t,t,t,t,t,ALWAYS
MAT22B,t,t,t,t,t,ALWAYS
MAT67,f,t,f,f,f,ALWAYS
MAT108,t,t,t,t,t,ALWAYS
MAT111,f,t,f,f,f,ALWAYS
MAT114,f,t,f,f,f,EVENALTERNATE
MAT115A,t,f,f,t,t,ALWAYS
MAT115B,f,t,f,f,f,EVENALTERNATE
MAT116,f,f,t,f,f,ODDALTERNATE
MAT118A,t,f,f,f,f,ALWAYS
MAT118B,f,t,f,f,f,ODDALTERNATE
MAT119A,t,t,f,f,f,ALWAYS
MAT119B,f,f,t,f,f,EVENALTERNATE
MAT124,f,f,t,f,f,ODDALTERNATE
MAT127A,t,t,t,f,t,ALWAYS
MAT127B,t,t,t,t,f,ALWAYS
MAT127C,t,t,t,f,t,ALWAYS
MAT128A,t,f,f,f,t,ALWAYS
MAT128B,f,t,f,f,f,ALWAYS
MAT128C,f,f,t,f,f,ALWAYS
MAT129,t,f,f,f,f,ODDALTERNATE
MAT133,f,f,t,f,f,ALWAYS
MAT135A,t,t,t,f,f,ALWAYS
MAT135B,f,f,t,f,f,ALWAYS
MAT141,f,t,t,f,f,ALWAYS
MAT145,t,t,t,t,t,ALWAYS
MAT146,f,f,t,f,f,EVENALTERNATE
MAT147,f,t,f,f,f,ALWAYS
MAT148,f,t,f,f,f,ODDALTERNATE
MAT150A,t,t,f,f,t,ALWAYS
MAT150B,f,t,f,f,f,ALWAYS
MAT150C,f,f,t,f,f,ALWAYS
MAT160,f,f,t,f,f,ALWAYS
MAT165,t,f,f,f,f,EVENALTERNATE
MAT167,t,t,f,t,f,ALWAYS
MAT168,t,t,f,f,f,ALWAYS
MAT180,t,t,t,f,f,ALWAYS
MAT185A,t,t,f,f,f,ALWAYS
MAT185B,f,f,t,f,f,ODDALTERNATE
MAT189,f,f,t,f,f,ALWAYS
BIS2A,t,t,t,t,t,ALWAYS
BIS2B,t,t,t,f,t,ALWAYS
CHE2A,t,t,f,t,f,ALWAYS
CHE2B,f,t,t,f,t,ALWAYS
ECN1A,t,t,t,t,t,ALWAYS
ECN1B,t,t,t,t,t,ALWAYS
ECN100A,t,t,t,t,t,ALWAYS
ECN100B,t,t,t,t,t,ALWAYS
ECN121A,t,f,f,t,f,ALWAYS
ECN121B,f,f,t,f,f,ALWAYS
ECN122,f,t,f,f,t,ALWAYS
ECN134,t,t,t,f,f,ALWAYS
ECS32A,t,t,t,f,f,ALWAYS
ECS124,t,t,t,f,f,ALWAYS
ECS129,f,t,f,f,f,ALWAYS
ECS170,f,t,f,f,f,ALWAYS
ENG06,t,t,t,f,t,ALWAYS
STA141C,f,t,t,f,f,ALWAYS
ARE100A,t,t,t,t,f,ALWAYS
ARE100B,t,t,t,t,t,ALWAYS
ARE155,t,t,t,t,f,ALWAYS
ARE156,t,t,t,f,f,ALWAYS
ARE157,f,f,t,f,f,ALWAYS
Biology_Req.,t,t,t,f,f,ALWAYS
Computation_Req.,t,t,t,f,f,ALWAYS
Natural_Science_1,t,t,t,t,t,ALWAYS
Natural_Science_2,t,t,t,t,t,ALWAYS
Upper_Div_Non-Math,t,t,t,f,f,ALWAYS
Natural_Science_3,t,t,t,t,t,ALWAYS
