name,teaching,geometry,physics,biology,computers,finance,abstract,data_analysis
MAT21A,f,f,f,f,f,f,f,f
MAT21B,f,f,f,f,f,f,f,f
MAT21C,f,f,f,f,f,f,f,f
MAT21D,f,f,f,f,f,f,f,f
MAT22A,f,f,f,f,f,f,f,f
MAT22AL,f,f,f,f,f,f,f,f
MAT22B,f,f,f,f,f,f,f,f
MAT67,f,f,f,f,f,f,f,f
MAT108,f,f,f,f,f,f,f,f
MAT111,t,f,f,f,f,f,f,f
MAT114,f,t,f,f,f,f,f,f
MAT115A,t,f,f,f,f,f,f,f
MAT115B,t,f,f,f,f,f,f,f
MAT116,f,t,f,f,f,f,f,f
MAT118A,f,f,t,f,f,f,f,f
MAT118B,f,f,t,f,f,f,f,f
MAT119A,f,f,t,f,f,f,f,f
MAT119B,f,f,t,f,f,f,f,f
MAT124,f,f,f,t,f,f,f,f
MAT127A,f,f,f,f,f,f,f,f
MAT127B,f,f,f,f,f,f,f,f
MAT127C,f,f,f,f,f,f,f,f
MAT128A,f,f,f,f,t,f,f,f
MAT128B,f,f,f,f,t,f,f,f
MAT128C,f,f,f,f,t,f,f,f
MAT129,f,f,f,f,f,f,f,f
MAT133,f,f,f,f,f,t,f,f
MAT135A,f,f,f,f,f,f,f,f
MAT135B,f,f,f,f,f,f,f,f
MAT141,t,t,f,f,f,f,f,f
MAT145,t,f,f,f,f,f,f,f
MAT146,f,f,f,f,f,f,f,f
MAT147,f,f,f,f,f,f,t,f
MAT148,f,f,f,f,f,f,f,f
MAT150A,f,f,f,f,f,f,f,f
MAT150B,f,f,f,f,f,f,t,f
MAT150C,f,f,f,f,f,f,t,f
MAT160,f,f,f,f,t,f,f,t
MAT165,f,f,f,f,t,f,f,f
MAT167,t,f,f,f,f,f,f,t
MAT168,f,f,f,f,t,f,f,t
MAT180,f,f,f,f,f,f,f,f
MAT185A,f,f,f,f,f,f,f,f
MAT185B,f,f,f,f,f,f,f,f
MAT189,f,f,f,f,f,f,f,f
BIS2A,f,f,f,f,f,f,f,f
BIS2B,f,f,f,f,f,f,f,f
CHE2A,f,f,f,f,f,f,f,f
CHE2B,f,f,f,f,f,f,f,f
ECN1A,f,f,f,f,f,f,f,f
ECN1B,f,f,f,f,f,f,f,f
ECN100A,f,f,f,f,f,f,f,f
ECN100B,f,f,f,f,f,f,f,f
ECN121A,f,f,f,f,f,f,f,f
ECN121B,f,f,f,f,f,f,f,f
ECN122,f,f,f,f,f,f,f,f
ECN134,f,f,f,f,f,f,f,f
ECS32A,f,f,f,f,f,f,f,f
ECS124,f,f,f,f,f,f,f,f
ECS129,f,f,f,f,f,f,f,f
ECS170,f,f,f,f,f,f,f,f
ENG06,f,f,f,f,f,f,f,f
PHY7A,f,f,f,f,f,f,f,f
PHY9A,f,f,f,f,f,f,f,f
PHY9B,f,f,f,f,f,f,f,f
STA32,f,f,f,f,f,f,f,f
STA100,f,f,f,f,f,f,f,f
STA131A,f,f,f,f,f,f,f,f
STA131B,f,f,f,f,f,f,f,f
STA131C,f,f,f,f,f,f,f,f
STA137,f,f,f,f,f,f,f,f
STA141A,f,f,f,f,f,f,f,f
STA141B,f,f,f,f,f,f,f,f
STA141C,f,f,f,f,f,f,f,f
ARE100A,f,f,f,f,f,f,f,f
ARE100B,f,f,f,f,f,f,f,f
ARE155,f,f,f,f,f,f,f,f
ARE156,f,f,f,f,f,f,f,f
ARE157,f,f,f,f,f,f,f,f
Upper_Div_Non-Math,f,f,f,f,f,f,f,f
Biology_Req.,f,f,f,f,f,f,f,f
Computation_Req.,f,f,f,f,f,f,f,f
Natural_Science_1,f,f,f,f,f,f,f,f
Natural_Science_2,f,f,f,f,f,f,f,f
Natural_Science_3,f,f,f,f,f,f,f,f
